GEO Summary	Month of Time	Year of Time	Daily Average by Month	Passenger Count
International	July	2005	25802.161290323	799867
International	August	2005	25482.645161290	789962
International	September	2005	22421	672630
International	October	2005	21793.419354839	675596
International	November	2005	20615.133333333	618454
International	December	2005	21547	667957
Domestic	July	2005	78254.903225806	2425902
Domestic	August	2005	77609.806451613	2405904
Domestic	September	2005	68930.766666667	2067923
Domestic	October	2005	67584.483870968	2095119
Domestic	November	2005	66629.3	1998879
Domestic	December	2005	64640	2003840
International	January	2006	21642.548387097	670919
International	February	2006	20310.428571429	568692
International	March	2006	22179.580645161	687567
International	April	2006	23774.2	713226
International	May	2006	23553.967741935	730173
International	June	2006	26250.533333333	787516
International	July	2006	27065.258064516	839023
International	August	2006	26274.612903226	814513
International	September	2006	22959.566666667	688787
International	October	2006	22879.290322581	709258
International	November	2006	22132.933333333	663988
International	December	2006	23012.096774194	713375
Domestic	January	2006	57353.870967742	1777970
Domestic	February	2006	59083.285714286	1654332
Domestic	March	2006	65200.354838710	2021211
Domestic	April	2006	68668.9	2060067
Domestic	May	2006	67704.096774194	2098827
Domestic	June	2006	76129.333333333	2283880
Domestic	July	2006	77051.032258065	2388582
Domestic	August	2006	75139.548387097	2329326
Domestic	September	2006	67710.433333333	2031313
Domestic	October	2006	68571	2125701
Domestic	November	2006	66329.966666667	1989899
Domestic	December	2006	64026.612903226	1984825
International	January	2007	22918.451612903	710472
International	February	2007	21854.071428571	611914
International	March	2007	23702.548387097	734779
International	April	2007	24466.166666667	733985
International	May	2007	24879.774193548	771273
International	June	2007	27109.466666667	813284
International	July	2007	28000.548387097	868017
International	August	2007	27627.032258065	856438
International	September	2007	24750.033333333	742501
International	October	2007	24508.161290323	759753
International	November	2007	23632.833333333	708985
International	December	2007	24500.129032258	759504
Domestic	January	2007	57966.387096774	1796958
Domestic	February	2007	60467	1693076
Domestic	March	2007	67267.935483871	2085306
Domestic	April	2007	71175.4	2135262
Domestic	May	2007	73731	2285661
Domestic	June	2007	81677.9	2450337
Domestic	July	2007	81108.548387097	2514365
Domestic	August	2007	83225.129032258	2579979
Domestic	September	2007	73834.3	2215029
Domestic	October	2007	76437.290322581	2369556
Domestic	November	2007	73783.833333333	2213515
Domestic	December	2007	69165.580645161	2144133
International	January	2008	24288.322580645	752938
International	February	2008	22720.827586207	658904
International	March	2008	25282.258064516	783750
International	April	2008	24341.666666667	730250
International	May	2008	25464.290322581	789393
International	June	2008	27697.033333333	830911
International	July	2008	28091.612903226	870840
International	August	2008	28202.225806452	874269
International	September	2008	23722.2	711666
International	October	2008	23044.193548387	714370
International	November	2008	20536.433333333	616093
International	December	2008	22571.677419355	699722
Domestic	January	2008	61842.419354839	1917115
Domestic	February	2008	66785.241379310	1936772
Domestic	March	2008	75601.193548387	2343637
Domestic	April	2008	76625.7	2298771
Domestic	May	2008	81179.387096774	2516561
Domestic	June	2008	87428	2622840
Domestic	July	2008	88164.709677419	2733106
Domestic	August	2008	88323.483870968	2738028
Domestic	September	2008	76435.133333333	2293054
Domestic	October	2008	77744.548387097	2410081
Domestic	November	2008	70946.4	2128392
Domestic	December	2008	73006.935483871	2263215
International	January	2009	21779.677419355	675170
International	February	2009	19161.678571429	536527
International	March	2009	20836.096774194	645919
International	April	2009	23044.5	691335
International	May	2009	22277.193548387	690593
International	June	2009	25526.933333333	765808
International	July	2009	26720.096774194	828323
International	August	2009	26896.741935484	833799
International	September	2009	24042.466666667	721274
International	October	2009	22263.677419355	690174
International	November	2009	20384.5	611535
International	December	2009	21581.419354839	669024
Domestic	January	2009	63528.032258065	1969369
Domestic	February	2009	65116.892857143	1823273
Domestic	March	2009	73548.354838710	2279999
Domestic	April	2009	77787.933333333	2333638
Domestic	May	2009	80209.903225806	2486507
Domestic	June	2009	88459.566666667	2653787
Domestic	July	2009	91012.225806452	2821379
Domestic	August	2009	90866.741935484	2816869
Domestic	September	2009	82341.733333333	2470252
Domestic	October	2009	82556.580645161	2559254
Domestic	November	2009	78664.966666667	2359949
Domestic	December	2009	77586.612903226	2405185
International	January	2010	21154.741935484	655797
International	February	2010	20067.928571429	561902
International	March	2010	21729.258064516	673607
International	April	2010	22559.233333333	676777
International	May	2010	25041.322580645	776281
International	June	2010	28198.333333333	845950
International	July	2010	29394.967741935	911244
International	August	2010	28656.903225806	888364
International	September	2010	26030.666666667	780920
International	October	2010	25045.451612903	776409
International	November	2010	21921.833333333	657655
International	December	2010	22319.387096774	691901
Domestic	January	2010	68699	2129669
Domestic	February	2010	69766.392857143	1953459
Domestic	March	2010	78462.935483871	2432351
Domestic	April	2010	82076.066666667	2462282
Domestic	May	2010	84002.387096774	2604074
Domestic	June	2010	92231.2	2766936
Domestic	July	2010	92083.225806452	2854580
Domestic	August	2010	93015.419354839	2883478
Domestic	September	2010	85848.166666667	2575445
Domestic	October	2010	87538.419354839	2713691
Domestic	November	2010	83533.466666667	2506004
Domestic	December	2010	79845.903225806	2475223
International	January	2011	22418.677419355	694979
International	February	2011	20834.678571429	583371
International	March	2011	22088.548387097	684745
International	April	2011	23819.766666667	714593
International	May	2011	26283.580645161	814791
International	June	2011	28342.933333333	850288
International	July	2011	28931.225806452	896868
International	August	2011	28662.967741935	888552
International	September	2011	26127.2	783816
International	October	2011	24942.451612903	773216
International	November	2011	21693.6	650808
International	December	2011	23217.129032258	719731
Domestic	January	2011	70607.451612903	2188831
Domestic	February	2011	72403.428571429	2027296
Domestic	March	2011	78853.548387097	2444460
Domestic	April	2011	82864.466666667	2485934
Domestic	May	2011	88161.709677419	2733013
Domestic	June	2011	97201.166666667	2916035
Domestic	July	2011	98023.258064516	3038721
Domestic	August	2011	97720.387096774	3029332
Domestic	September	2011	92705.133333333	2781154
Domestic	October	2011	91265.774193548	2829239
Domestic	November	2011	89201.7	2676051
Domestic	December	2011	87805.225806452	2721962
International	January	2012	23213.612903226	719622
International	February	2012	21249	616221
International	March	2012	22958.387096774	711710
International	April	2012	25413.966666667	762419
International	May	2012	27893.935483871	864712
International	June	2012	30656.133333333	919684
International	July	2012	30549.774193548	947043
International	August	2012	30730.064516129	952632
International	September	2012	27928.066666667	837842
International	October	2012	26127.580645161	809955
International	November	2012	22980.633333333	689419
International	December	2012	23606.741935484	731809
Domestic	January	2012	80386.387096774	2491978
Domestic	February	2012	82134.413793103	2381898
Domestic	March	2012	89055.806451613	2760730
Domestic	April	2012	93352.933333333	2800588
Domestic	May	2012	95350.258064516	2955858
Domestic	June	2012	106250.366666667	3187511
Domestic	July	2012	107658.064516129	3337400
Domestic	August	2012	109793.032258065	3403584
Domestic	September	2012	99384.566666667	2981537
Domestic	October	2012	97904.258064516	3035032
Domestic	November	2012	92982.366666667	2789471
Domestic	December	2012	87459.032258065	2711230
International	January	2013	22802.516129032	706878
International	February	2013	21894.642857143	613050
International	March	2013	23656.032258065	733337
International	April	2013	25043	751290
International	May	2013	28432.774193548	881416
International	June	2013	31160.366666667	934811
International	July	2013	30861.129032258	956695
International	August	2013	31772.741935484	984955
International	September	2013	28660.533333333	859816
International	October	2013	27027.064516129	837839
International	November	2013	23551.7	706551
International	December	2013	25085.483870968	777650
Domestic	January	2013	80572.870967742	2497759
Domestic	February	2013	84050.964285714	2353427
Domestic	March	2013	92258.935483871	2860027
Domestic	April	2013	95093.8	2852814
Domestic	May	2013	98438.709677419	3051600
Domestic	June	2013	107066.2	3211986
Domestic	July	2013	103864.225806452	3219791
Domestic	August	2013	108454.967741935	3362104
Domestic	September	2013	97378.4	2921352
