GEO Region	Operating Airline	Passenger Count
US	Boeing Company	18
US	Atlas Air, Inc	68
US	Ameriflight	110
US	Xtra Airways	146
US	Trego Dugan Aviation	412
US	World Airways	271
US	Miami Air International	1690
US	Servisair	3210
US	Swissport USA	1698
US	Allegiant Air	24269
US	Atlantic Southeast Airlines	47892
US	Republic Airlines	58860
US	Independence Air	63913
US	Spirit Airlines	70105
US	Mesaba Airlines	126048
US	ExpressJet Airlines	180219
US	ATA Airlines	383773
US	American Eagle Airlines	424692
US	Mesa Airlines	434184
US	Midwest Airlines	450428
US	Sun Country Airlines	1631215
US	Horizon Air	1648089
US	AirTran Airways	2388648
US	Hawaiian Airlines	3462190
US	Compass Airlines	3983830
US	Northwest Airlines	5551459
US	Frontier Airlines	6434144
US	JetBlue Airways	13235801
US	US Airways	16816616
US	Alaska Airlines	22042189
US	Southwest Airlines	37723074
US	Virgin America	36992619
US	Delta Air Lines	39989661
US	American Airlines	48616038
US	SkyWest Airlines	46603727
US	United Airlines - Pre 07/01/2013	81152761
US	United Airlines	117264859
South America	LAN Peru	250741
South America	United Airlines	81
Middle East	El Al Israel Airlines LTD.	21775
Middle East	Etihad Airways	395594
Middle East	Emirates	2699235
Middle East	United Airlines	497580
Mexico	ABC Aerolineas S.A. de C.V. dba Interjet	153955
Mexico	Volaris Airlines	233571
Mexico	Mexicana Airlines	991232
Mexico	Sun Country Airlines	15200
Mexico	Aeromexico	2080678
Mexico	Alaska Airlines	2690095
Mexico	Virgin America	811116
Mexico	United Airlines - Pre 07/01/2013	2108812
Mexico	United Airlines	3490368
Europe	Pacific Aviation	320
Europe	World Airways	514
Europe	Servisair	32
Europe	Swissport USA	2721
Europe	BelAir Airlines	9138
Europe	Air Italy S.P.A	31354
Europe	TAP Air Portugal	41695
Europe	Icelandair	55994
Europe	Norwegian Air UK Ltd	82735
Europe	Thomas Cook Airlines	94696
Europe	Icelandair EHF	106887
Europe	Finnair	107667
Europe	Iberia	127722
Europe	XL Airways France	160513
Europe	French Bee	102020
Europe	Air Berlin	235155
Europe	WOW Air	359809
Europe	SAS Airlines	952783
Europe	Turkish Airlines	958353
Europe	Aer Lingus	1005226
Europe	Swiss International	1550774
Europe	KLM Royal Dutch Airlines	3427580
Europe	Virgin Atlantic	3580552
Europe	Air France	4285192
Europe	British Airways	6122463
Europe	Lufthansa German Airlines	6757143
Europe	United Airlines - Pre 07/01/2013	5072061
Europe	United Airlines	5218940
Central America	Swissport USA	468
Central America	COPA Airlines, Inc.	664456
Central America	TACA	1835161
Central America	United Airlines	62
Canada	Miami Air International	28
Canada	Air Canada Jazz	4119
Canada	ATA Airlines	991
Canada	Jazz Aviation	395067
Canada	WestJet Airlines	1010069
Canada	Air Canada	10057375
Canada	Alaska Airlines	495206
Canada	Virgin America	40185
Canada	SkyWest Airlines	3077921
Canada	United Airlines - Pre 07/01/2013	2580177
Canada	United Airlines	2437970
Australia / Oceania	Air Pacific Limited dba Fiji Airways	145162
Australia / Oceania	French Bee	82885
Australia / Oceania	Qantas Airways	1403536
Australia / Oceania	Air New Zealand	2605864
Australia / Oceania	United Airlines - Pre 07/01/2013	1633934
Australia / Oceania	United Airlines	1401692
Asia	Evergreen International Airlines	4
Asia	Swissport USA	216
Asia	Jet Airways	68485
Asia	Hong Kong Airlines Limited	176582
Asia	Air India Limited	528135
Asia	China Southern	823601
Asia	China Eastern	1168116
Asia	Asiana Airlines	2199967
Asia	Japan Airlines	2202302
Asia	All Nippon Airways	2219283
Asia	Korean Air Lines	2513618
Asia	Air China	2577146
Asia	China Airlines	3381239
Asia	Philippine Airlines	3637077
Asia	Singapore Airlines	4964136
Asia	EVA Airways	5099516
Asia	Cathay Pacific	6219156
Asia	Northwest Airlines	714761
Asia	Delta Air Lines	498241
Asia	United Airlines - Pre 07/01/2013	12816172
Asia	United Airlines	11180167
